cinema (ID),cinema (source),cinema (transliteration),"city, country",year,address,"lat,long",run,seats,affiliation,comments,sources,reconstruction,Coef
MOS018,Молот,Molot,"Moscow, SU",1946,"Rusakovskaia, 23","55.785928, 37.675828",2,411,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record. ",1,"0,88"
MOS019,Наука и знание,Nauka i znanie,"Moscow, SU",1946,"Arbat, 2","55.752414, 37.599597",2,293,Moscow City Executive Committee's Department of Cinefication,scientific films,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,88"
MOS020,Новости дня,Novosti dnia,"Moscow, SU",1946,"Tverskoĭ bul'var, 33","55.764289709486825, 37.60515729827925",,280,Moscow City Executive Committee's Department of Cinefication,newsreel,All the data is based on the 1947 record.,1,"0,5"
MOS021,Октябрь,Oktiabr',"Moscow, SU",1946,"Sheremet'evskaia, 19","55.79929647698802, 37.61501275297922",2,406,Moscow City Executive Committee's Department of Cinefication,for children,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,88"
MOS022,Орион,Orion,"Moscow, SU",1946,Preobrazhenskaia pl. 7,"55.795618, 37.708499",1,707,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,1
MOS023,Перекоп,Perekop,"Moscow, SU",1946,Grokhol'skiĭ per. 22,"55.777151, 37.638043",1,574,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,1
MOS024,ПКиО Сокольники,PKiO Sokol'niki,"Moscow, SU",1946,Sokol'nicheskiĭ district,"55.792565, 37.677725",1,700,Moscow City Executive Committee's Department of Cinefication,"seasonal cinema, open-air",All the data is based on the 1948 record.,1,1
MOS025,Родина,Rodina,"Moscow, SU",1946,Semenovskaia pl.,"55.781570, 37.717869",1,1231,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,1
MOS026,Сад им. Баумана,Sad im. Baumana,"Moscow, SU",1946,Baumansiĭ district,"55.766581, 37.659918",2,500,Moscow City Executive Committee's Department of Cinefication,"seasonal cinema, open-air",All the data is based on the 1948 record.,1,"0,88"
MOS027,Сад Эрмитаж,Sad Ėrmitazh,"Moscow, SU",1946,Sverdlovskiĭ district,"55.77080510877408, 37.60954337553044",1,689,Moscow City Executive Committee's Department of Cinefication,"seasonal cinema, open-air",All the data is based on the 1948 record.,1,1
MOS028,Смена,Smena,"Moscow, SU",1946,"B. Gruzinskaia, 51","55.771020990551925, 37.582989154099984",2,395,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,88"
MOS029,Спартак,Spartak,"Moscow, SU",1946,"Ul. Chernyshevskogo, 55","55.76354670647905, 37.6548476160702",2,375,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,88"
MOS030,Таганский,Taganskiĭ,"Moscow, SU",1946,Taganskaia pl. 12,"55.74038353434052, 37.654197842457705",1,819,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,1
MOS031,Таганский ПКиО,Taganskiĭ PKIO,"Moscow, SU",1946,Zhdanovskiĭ district,"55.739207, 37.667761",2,602,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1948 record.,1,"0,88"
MOS032,Театр киноактера,Teatr kinoaktera,"Moscow, SU",1946,"Ul. Vorovskogo, 31","55.756832, 37.586203",1,924,Ministry of Cinematography,,All the data is based on the 1948 record.,1,1
MOS033,Уран,Uran,"Moscow, SU",1946,Dzerzhinskiĭ district,"55.77040452282041, 37.63155372711536",1,910,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1948 record.,1,1
MOS034,Форум,Forum,"Moscow, SU",1946,"Sadovo-Sukharevskaia, 14","55.773058432602916, 37.62740330442969",1,1222,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,1
MOS035,Хроника,Khronika,"Moscow, SU",1946,"Sretenka, 4","55.767124, 37.631820",,266,Moscow City Executive Committee's Department of Cinefication,newsreel,All the data is based on the 1947 record.,1,"0,5"
MOS036,Художественный,Khudozhestvennyĭ,"Moscow, SU",1946,Arbatskaia pl. 14,"55.752369, 37.602139",1,960,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,1
MOS037,Центральный,Tsentral'nyĭ,"Moscow, SU",1946,"Ul. Gor'kogo, 46","55.76592426048217, 37.60529052843362",1,810,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,1
MOS038,ЦПКиО им. Горького,TSPKiO im. Gor'kogo,"Moscow, SU",1946,Leninskiĭ district,"55.73154109054722, 37.60327706944183",1,810,Moscow City Executive Committee's Department of Cinefication,"seasonal cinema, open-air",All the data is based on the 1948 record.,1,1
MOS039,Шторм,Shtorm,"Moscow, SU",1946,"Rusakovskaia, 1","55.78235111103543, 37.67006121362364",1,638,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1948 record.,1,1
MOS040,Экран жизни,Ėkran zhizni,"Moscow, SU",1946,Kominternovskiĭ district,"55.77342398078649, 37.611662769437814",1,548,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1948 record.,1,1
MOS041,Экспресс,Ėkspress,"Moscow, SU",1946,Kominternovskiĭ district,"55.77321250837942, 37.620671571295084",2,230,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1948 record.,1,"0,88"
MOS042,Юный зритель,IUnyĭ zritel',"Moscow, SU",1946,"Arbat, 39","55.74853398105157, 37.588827397745554",2,313,Moscow City Executive Committee's Department of Cinefication,for children,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,88"
MOS043,Москва,Moskva,"Moscow, SU",1947,"Pl. Maiakovskogo, 1","55.769671725991564, 37.59471331716628",1,747,The Main Department of Cinefication (Soviet Union level),,All the data is based on the 1946 record.,1,1
MOS044,Ударник,Udarnik,"Moscow, SU",1947,"Ul. Serafimovicha, 2","55.744450, 37.613072",1,1587,The Main Department of Cinefication (Soviet Union level),,RGALI. F. 2473. Op. 1. D. 345. L. 12.,0,1
MOS045,Колизей,Kolizeĭ,"Moscow, SU",1947,"Chistye prudy, 19а","55.761781, 37.645941",1,1000,The Main Department of Cinefication (Soviet Union level),,RGALI. F. 2473. Op. 1. D. 345. L. 12.,0,1
MOS046,Метрополь,Metropol',"Moscow, SU",1947,"Pl. Sverdlova, 2/4","55.758448, 37.621669",1,680,The Main Department of Cinefication (Soviet Union level),,RGALI. F. 2473. Op. 1. D. 345. L. 12.,0,1
MOS047,Авангард,Avangard,"Moscow, SU",1947,B. Iakimanka,"55.731779, 37.611473",1,489,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS048,Аврора,Avrora,"Moscow, SU",1947,"Ul. Chernyshevskogo, 16","55.759157, 37.645708",3,338,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,62"
MOS049,Арс,Ars,"Moscow, SU",1947,"Arbat, 51","55.74806146601852, 37.58749976700312",2,254,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on: TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS050,Баррикады,Barrikady,"Moscow, SU",1947,"Barrikadnaia, 21","55.76064794396243, 37.579330860186516",2,441,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on: TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS051,Динамо,Dinamo,"Moscow, SU",1947,Leningradskiĭ district,"55.79618060753062, 37.555168887144774",1,553,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1948 record.,1,1
MOS052,Диск,Disk,"Moscow, SU",1947,Mariinskaia ul. 23,"55.809621, 37.634416",3,216,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on: TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,62"
MOS053,Заря,Zaria,"Moscow, SU",1947,"Piatnitskaia ul., 2","55.745524, 37.626412",3,261,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on: TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,62"
MOS054,им. III Интернационала,im. III Internatsionala,"Moscow, SU",1947,"Spartakovskaia, 21","55.77323586956071, 37.67796359405088",2,428,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on: TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS055,Кадр,Kadr,"Moscow, SU",1947,"Pliushchikha, 11","55.744520, 37.579277",3,314,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on: TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,62"
MOS056,Кинотеатр повторного фильма,Kinoteatr povtornogo fil'ma,"Moscow, SU",1947,"Ul. Gertsena, 23","55.757288, 37.599238",2,466,Moscow City Executive Committee's Department of Cinefication,"specialized, re-run cinema",Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on: TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS057,Луч,Luch,"Moscow, SU",1947,Sokol'nicheskiĭ district,"55.791681890731304, 37.68025349659428",2,401,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on: TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS058,Мир,Mir,"Moscow, SU",1947,"Sushchevskiĭ val, 18","55.792343570876206, 37.60394035824865",2,351,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS059,Молот,Molot,"Moscow, SU",1947,"Rusakovskaia, 23","55.785928, 37.675828",2,411,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS060,Наука и знание,Nauka i znanie,"Moscow, SU",1947,"Arbat, 2","55.752414, 37.599597",2,293,Moscow City Executive Committee's Department of Cinefication,scientific films,Tha data on the cinema's run is based on the 1948 record. The data on cinema's capacity and address is based onTCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS061,Новости дня,Novosti dnia,"Moscow, SU",1947,"Tverskoĭ bul'var, 33","55.764289709486825, 37.60515729827925",,280,Moscow City Executive Committee's Department of Cinefication,newsreel,TCGAM. F. R-265. Op. 1. D. 14. L. 73.,0,"0,5"
MOS062,Октябрь,Oktiabr',"Moscow, SU",1947,"Sheremet'evskaia, 19","55.79929647698802, 37.61501275297922",2,406,Moscow City Executive Committee's Department of Cinefication,for children,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS063,Орион,Orion,"Moscow, SU",1947,Preobrazhenskaia pl. 7,"55.795618, 37.708499",1,707,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS064,Перекоп,Perekop,"Moscow, SU",1947,Grokhol'skiĭ per. 22,"55.777151, 37.638043",1,574,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS065,ПКиО Сокольники,PKiO Sokol'niki,"Moscow, SU",1947,Sokol'nicheskiĭ district,"55.792565, 37.677725",1,700,Moscow City Executive Committee's Department of Cinefication,"seasonal cinema, open-air",All the data is based on the 1948 record.,1,1
MOS066,Родина,Rodina,"Moscow, SU",1947,Semenovskaia pl.,"55.781570, 37.717869",1,1231,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS067,Сад Эрмитаж,Sad Ėrmitazh,"Moscow, SU",1947,Sverdlovskiĭ district,"55.77080510877408, 37.60954337553044",1,689,Moscow City Executive Committee's Department of Cinefication,"seasonal cinema, open-air",All the data is based on the 1948 record.,1,1
MOS068,Салют,Saliut,"Moscow, SU",1947,"Nizh. Maslovka,1/2","55.792065, 37.575222",1,346,Moscow City Executive Committee's Department of Cinefication,,The data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS069,Смена,Smena,"Moscow, SU",1947,"B. Gruzinskaia, 51","55.771020990551925, 37.582989154099984",2,395,Moscow City Executive Committee's Department of Cinefication,,The data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS070,Спартак,Spartak,"Moscow, SU",1947,"Ul. Chernyshevskogo, 55","55.76354670647905, 37.6548476160702",2,375,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS071,Стереокино,Stereokino,"Moscow, SU",1947,"Pl. Sverdlova, 1/8","55.76037895000343, 37.61916289759364",,180,Moscow City Executive Committee's Department of Cinefication,"stereo cinema, closed for repairs",TCGAM. F. R-265. Op. 1. D. 14. L. 73.,0,2
MOS072,Таганский,Taganskiĭ,"Moscow, SU",1947,Taganskaia pl. 12,"55.74038353434052, 37.654197842457705",1,819,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on: TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS073,Таганский ПКиО,Taganskiĭ PKIO,"Moscow, SU",1947,Zhdanovskiĭ district,"55.739207, 37.667761",2,602,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1948 record.,1,"0,88"
MOS074,Театр киноактера,Teatr kinoaktera,"Moscow, SU",1947,"Ul. Vorovskogo, 31","55.756832, 37.586203",1,924,Ministry of Cinematography,,All the data is based on the 1948 record.,1,1
MOS075,Уран,Uran,"Moscow, SU",1947,"Sretenka, 19","55.77040452282041, 37.63155372711536",1,910,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS076,Форум,Forum,"Moscow, SU",1947,"Sadovo-Sukharevskaia, 14","55.773058432602916, 37.62740330442969",1,1222,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the inema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS077,Хроника,Khronika,"Moscow, SU",1947,"Sretenka, 4","55.767124, 37.631820",,266,Moscow City Executive Committee's Department of Cinefication,newsreel,TCGAM. F. R-265. Op. 1. D. 14. L. 73.,0,"0,5"
MOS078,Художественный,Khudozhestvennyĭ,"Moscow, SU",1947,Arbatskaia pl. 14,"55.752369, 37.602139",1,960,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS079,Центральный,Tsentral'nyĭ,"Moscow, SU",1947,"Ul. Gor'kogo, 46","55.76592426048217, 37.60529052843362",1,810,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS080,ЦПКиО им. Горького,TSPKiO im. Gor'kogo,"Moscow, SU",1947,Leninskiĭ district,"55.73154109054722, 37.60327706944183",1,810,Moscow City Executive Committee's Department of Cinefication,"seasonal cinema, open-air",All the data is based on the 1948 record.,1,1
MOS081,Шторм,Shtorm,"Moscow, SU",1947,"Rusakovskaia, 1","55.78235111103543, 37.67006121362364",1,638,Moscow City Executive Committee's Department of Cinefication,,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,1
MOS082,Экран жизни,Ėkran zhizni,"Moscow, SU",1947,Kominternovskiĭ district,"55.77342398078649, 37.611662769437814",1,548,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1948 record.,1,1
MOS083,Экспресс,Ėkspress,"Moscow, SU",1947,Kominternovskiĭ district,"55.77321250837942, 37.620671571295084",2,230,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1948 record.,1,"0,88"
MOS084,Эрмитаж,Ėrmitazh,"Moscow, SU",1947,Sverdlovskiĭ district,"55.77035848488775, 37.60921074307702",1,694,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1949 record.,1,1
MOS085,Юный зритель,IUnyĭ zritel',"Moscow, SU",1947,"Arbat, 39","55.74853398105157, 37.588827397745554",2,313,Moscow City Executive Committee's Department of Cinefication,for children,Tha data on the cinema's run is based on the 1948 record. The data on the cinema's capacity and address is based on TCGAM. F. R-265. Op. 1. D. 14. L. 73.,1,"0,88"
MOS086,Метрополь,Metropol',"Moscow, SU",1948,"Pl. Sverdlova, 2/4","55.758448, 37.621669",1,692,The Main Department of Cinefication (Soviet Union level),,The data on the cinema's address and run is based on the 1953 record. The data on the cinema's capacity is based on RGALI. F. 2473. Op. 1. D. 399. L. 18.,1,1
MOS087,Ударник,Udarnik,"Moscow, SU",1948,"Ul. Serafimovicha, 2","55.744450, 37.613072",1,1587,The Main Department of Cinefication (Soviet Union level),,RGALI. F. 2473. Op. 1. D. 399. L. 18.,0,1
MOS088,Колизей,Kolizeĭ,"Moscow, SU",1948,"Chistye prudy, 19а","55.761781, 37.645941",1,1001,The Main Department of Cinefication (Soviet Union level),,The data on the cinema's address and run is based on the 1953 record. The data on cinema's capacity is based on RGALI. F. 2473. Op. 1. D. 399. L. 18.,1,1
MOS089,Авангард,Avangard,"Moscow, SU",1948,Leninskiĭ district,"55.731779, 37.611473",1,489,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,1
MOS090,Аврора,Avrora,"Moscow, SU",1948,Krasnogvardeĭskiĭ district,"55.759157, 37.645708",3,338,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,62"
MOS091,Аквариум,Akvarium,"Moscow, SU",1948,Sovetskiĭ district,"55.76749154922368, 37.59480267864476",2,600,Moscow City Executive Committee's Department of Cinefication,"seasonal cinema, open-air",TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,88"
MOS092,Арс,Ars,"Moscow, SU",1948,Kievskiĭ district,"55.74806146601852, 37.58749976700312",2,254,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,88"
MOS093,Баррикады,Barrikady,"Moscow, SU",1948,Krasnopresnenskiĭ district,"55.76064794396243, 37.579330860186516",2,441,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,88"
MOS094,Динамо,Dinamo,"Moscow, SU",1948,Leningradskiĭ district,"55.79618060753062, 37.555168887144774",1,553,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,1
MOS095,Диск,Disk,"Moscow, SU",1948,Shcherbakovkiĭ district,"55.809621, 37.634416",3,216,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,62"
MOS096,Заря,Zaria,"Moscow, SU",1948,Moskvoretskiĭ district,"55.745524, 37.626412",3,263,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,62"
MOS097,Измайловский ПКиО имени Сталина,Izmaĭlovskiĭ PKiO imeni Stalina,"Moscow, SU",1948,Stalinskiĭ district,"55.77299499453838, 37.76126878218039",2,815,Moscow City Executive Committee's Department of Cinefication,"seasonal cinema, open-air",TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,88"
MOS098,им. III Интернационала,im. III Internatsionala,"Moscow, SU",1948,Baumansiĭ district,"55.77323586956071, 37.67796359405088",2,426,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,88"
MOS099,Искра,Iskra,"Moscow, SU",1948,Timiriazevskiĭ district,"55.81168032493068, 37.57701676520979",3,210,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,62"
MOS100,Кадр,Kadr,"Moscow, SU",1948,Kievskiĭ district,"55.744520, 37.579277",3,312,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84,0,"0,62"
MOS101,Кинозал короткометражного фильма,Kinozal korotkometrazhnogo fil'ma,"Moscow, SU",1948,Sverdlovskiĭ district,"55.757521, 37.616369",,151,Moscow City Executive Committee's Department of Cinefication,newsreel,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,5"
MOS102,Кинотеатр повторного фильма,Kinoteatr povtornogo fil'ma,"Moscow, SU",1948,Krasnopresnenskiĭ district,"55.757288, 37.599238",2,480,Moscow City Executive Committee's Department of Cinefication,"specialized, re-run cinema",TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,88"
MOS103,Луч,Luch,"Moscow, SU",1948,Sokol'nicheskiĭ district,"55.791681890731304, 37.68025349659428",2,403,Moscow City Executive Committee's Department of Cinefication,,TCGAM. F. R-265. Op. 1. D. 17. L. 84.,0,"0,88"
