film_id,title (original),Year of Production,Duration (min),IMDB id
flm0000051,Жила-была девочка,1944,72,tt0037479
flm0000052,Всесоюзный парад физкультурников 1945 г.,1945,43,tt6638210
flm0000053,Слон и веревочка,1946,46,tt0170584
flm0000054,Остров сокровищ,1938,92,tt0029356
flm0000055,Дни и ночи,1945,90,tt0037646
flm0000056,Победа,1938,85,tt0030594
flm0000057,Лермонтов,1943,85,tt0037015
flm0000058,Комендант птичьего острова,1931,65,tt0022065
flm0000059,Бесприданница,1937,81,tt0028622
flm0000060,Сердца четырех,1944,80,tt0038533
flm0000061,His Butler's Sister,1943,87,tt0036001
flm0000062,Ленинград в борьбе,1942,73,tt0034971
flm0000063,Щорс,1939,92,tt0031919
flm0000064,Парад Победы,1945,19,tt7030214
flm0000065,Кубок СССР,,,
flm0000066,Шел солдат с фронта,1939,,tt12131680
flm0000067,Иван Никулин - русский матрос,1945,90,tt0036963
flm0000068,За Советскую Родину,1937,73,tt0029813
flm0000069,Битва за Севастополь,1944,43,tt5252570
flm0000070,Выборгская сторона,1939,92,tt0032104
flm0000071,Амур,,,
flm0000072,Озеро Телецкое,,,
flm0000073,Советское Приморье,,,
flm0000074,Сибирь Советская,,,
flm0000075,Якутия,,,
flm0000076,Хакассия,,,
flm0000077,Горная Шория,,,
flm0000078,В уссурийской тайге,,,
flm0000079,Die Unbesiegbaren,1953,107,tt0232870
flm0000080,Без вины виноватые,1945,98,tt0037540
flm0000081,Маскарад,1941,104,tt0033886
flm0000082,Charley's Aunt,1941,80,tt0033457
flm0000083,Рождение радио,,,
flm0000084,Наука и техника №29 1946 г.,,,
flm0000085,In Old Chicago,1938,95,tt0029047
flm0000086,Возрождение,,,
flm0000087,Насреддин в Бухаре,1943,80,tt0036196
flm0000088,Дело Артамоновых,1941,88,tt0033522
flm0000089,The Hurricane,1937,104,tt0029030
flm0000090,Песни Абая,1946,96,tt0175031
flm0000091,Красная звезда (Югославия) - ЦДКА (Москва),,,
flm0000092,Новости дня № 1 1946 г.,,,
flm0000093,Новости дня № 2 1946 г.,,,
flm0000094,Учитель,1939,85,tt0032070
flm0000095,Памятники Октября в Ленинграде,,,
flm0000096,Новодевичий монастырь,,,
flm0000097,Архитектура Ленинграда,,,
flm0000098,По военно-грузинской дороге,,,
flm0000099,По Абхазии,,,
flm0000100,На побережье Аджарии,,,
flm0000101,На Родине вождя,,,
flm0000102,Цхалтубо,,,
flm0000103,Радуга,1944,87,tt0037205
flm0000104,Берлин,1945,70,tt0037537
flm0000105,Повесть о наших детях,,,
flm0000106,Непокоренные,1945,82,tt0037941
flm0000107,Закон великой любви,1945,48,tt0038267
flm0000108,Александр Покрышкин,,,
flm0000109,Актриса,1943,76,tt0035620
flm0000110,Иван Грозный,1944,95,tt0037824
flm0000111,В песках Средней Азии,1943,48,tt0036485
flm0000112,Вахш,,,
flm0000113,Бокс,,,
flm0000114,Прыгуны,,,
flm0000115,Великий перелом,1945,108,tt0037426
flm0000116,Будни,1940,84,tt3028088
flm0000117,Любимая девушка,1940,83,tt0173996
flm0000118,Гаврош,1937,75,tt0175649
flm0000119,Судебный процесс в Смоленске,1946,13,tt2700662
flm0000120,Новости дня № 3 1946 г.,,,
flm0000121,Новости дня № 4 1946 г.,,,
flm0000122,That Hamilton Woman,1941,125,tt0034272
flm0000123,Новости дня № 5 1946 г.,,,
flm0000124,Возвращение Максима,1937,105,tt0029740
flm0000125,Свадьба,1944,64,tt0037332
flm0000126,Человек в футляре,1939,84,tt0252315
flm0000127,Song of Russia,1944,107,tt0036378
flm0000128,Наш кандидат О. Ф. Леонова,,,
flm0000129,Цирк,1936,90,tt0028420
flm0000130,Наш кандидат Д. Н. Чечулин,,,
flm0000131,Наш кандидат - президент Академии Наук СССР С. И. Вавилов,,,
flm0000132,Наш кандидат Н. Л. Булганин,,,
flm0000133,Новости дня № 6 1946 г.,,,
flm0000134,Новости дня № 7 1946 г.,,,
flm0000135,Новости дня № 8 1946 г.,,,
flm0000136,Жди меня,1943,90,tt0036558
flm0000137,"Edison, the Man",1940,107,tt0032432
flm0000138,Последняя ночь,1937,98,tt0028131
flm0000139,Зигмунд Колосовский,1946,78,tt0038272
flm0000140,Небесные гости,,,
flm0000141,Земля в пространстве,,,
flm0000142,Черевички,1945,84,tt5125104
flm0000143,Танцы народов СССР,,,
flm0000144,Give Us This Night,1936,73,tt0027680
flm0000145,Музыкальная история,1940,84,tt0032825
flm0000146,Новости дня № 10 1946 г.,,,
flm0000147,Новости дня № 11 1946 г.,,,
flm0000148,Наука и техника №63 1946 г.,,,
flm0000149,Это было в Донбассе,1945,,tt0037684
flm0000150,Освобожденная Чехословакия,1945,73,tt18592290
flm0000151,Опыты академика Павлова,,,
flm0000152,Иудушка Головлев,1934,70,tt0164542
flm0000153,Мы из Кронштадта,1936,88,tt0028012
flm0000154,Новости дня № 12 1946 г.,,,
flm0000155,Новости дня № 13 1946 г.,,,
flm0000156,Elephant Boy,1937,80,tt0028827
flm0000157,Кармелюк,1938,80,tt6689322
flm0000158,Каин и Артем,1930,85,tt0130054
flm0000159,"Здравствуй, Москва!",1945,80,tt0038594
flm0000160,Новости дня № 14 1946 г.,,,
flm0000161,Возвращение,1940,72,tt0240187
flm0000162,Советский спорт № 1 1946 г.,,,
flm0000163,Пышка,1934,70,tt0025691
flm0000164,Монголия,,,
flm0000165,Коллежский регистратор,1925,94,tt0015997
flm0000166,Юные музыканты,,,
flm0000167,The Three Musketeers,1939,73,tt0032028
flm0000168,Пятнадцатилетний капитан,1946,83,tt0038841
flm0000169,Трактористы,1939,84,tt0032050
flm0000170,Таджикистан,1946,,tt0240070
flm0000171,Советские спортсмены в Норвегии,,,
flm0000172,Небесный тихоход,1946,83,tt0129257
flm0000173,Господин Великий Новгород,,,
flm0000174,Under Your Spell,1936,62,tt0028443
flm0000175,Пионерия № 2 1946 г.,,,
flm0000176,Мои университеты,1940,90,tt0032802
flm0000177,Закройщик из Торжка,1925,65,tt0016559
flm0000178,Юбилей,1944,40,tt0037477
flm0000179,Хирургия,1939,37,tt6620158
flm0000180,На процессе главных военных преступников в Нюрнберге,,,
flm0000181,Владимир Маяковский,,,
flm0000182,Чайковский,,,
flm0000183,В дальнем плавании,1946,91,tt0306181
flm0000184,Советское искусство,,,
flm0000185,"Будем, как Ленин",,,
flm0000186,Георгий Саакадзе 1 серия,1942,184,tt0034781
flm0000187,Каменный цветок,1946,89,tt0038666
flm0000188,Волга-Волга,1938,108,tt0030947
flm0000189,Иран,,,
flm0000190,Советский спорт №3 1946 г.,,,
flm0000191,Советский спорт № 3 1946 г.,,,
flm0000192,Новости дня № 24 1946 г.,,,
flm0000193,Новости дня № 25 1946 г.,,,
flm0000194,Новости дня № 26 1946 г.,,,
flm0000195,Новые похождения Швейка,1943,66,tt0036221
flm0000196,Девушка с характером,1939,87,tt0239342
flm0000197,Последний аттракцион,1929,79,tt5587450
flm0000198,Беспокойное хозяйство,1946,85,tt0038350
flm0000199,Первое мая,,,
flm0000200,Солнечное племя,,,
flm0000201,Кащей Бессмертный,1945,73,tt0167227
flm0000202,Высокая награда,1939,97,tt0337446
flm0000203,Сила жизни,,,
flm0000204,Югославия,1946,,tt0240238
flm0000205,Сыновья,1946,89,tt0039006
flm0000206,The Great Waltz,1938,104,tt0030202
flm0000207,Bambi,1942,69,tt0034492
flm0000208,Наездник из Кабарды,,,
flm0000209,The Thief of Bagdad,1940,106,tt0033152
flm0000210,Гроза,1934,85,tt0025207
flm0000211,Случай в вулкане,1941,63,tt0034201
flm0000212,Человек из ресторана,,,
flm0000213,Цветущий сад,,,
flm0000214,Детство Горького,1938,98,tt0030055
flm0000215,В людях,1939,100,tt0032086
flm0000216,The Men in Her Life,1941,89,tt0033900
flm0000217,Максим Горький,,,
flm0000218,Новости дня № 32 1946 г.,,,
flm0000219,Новости дня № 33 1946 г.,,,
flm0000220,Пребывание советской делегации иностранных дел в Париже,,,
flm0000221,Враги 1 серия,1953,158,tt0046526
flm0000222,Враги 2 серия,1953,158,tt0046526
flm0000223,Мечта,1943,100,tt0033889
flm0000224,Аринка,1939,82,tt0239240
flm0000225,Восстановители магистрали,,,
flm0000226,Богатая невеста,1938,93,tt0029932
flm0000227,Золотой ключик,1939,70,tt0032162
flm0000228,Антон Иванович сердится,1941,80,tt0033346
flm0000229,Освобожденная земля,1946,83,tt0038811
flm0000230,Проводы советских войск в Иране,,,
flm0000231,Новости дня № 36 1946 г.,,,
flm0000232,Большая вселенная,,,
flm0000233,По щучьему велению,1938,60,tt0030593
flm0000234,Новости дня № 37 1946 г.,,,
flm0000235,Два бойца,1943,75,tt0036782
flm0000236,Мультипликационные фильмы,,,
flm0000237,Дети капитана Гранта,1936,83,tt0027516
flm0000238,Веселые ребята,1934,96,tt0025946
flm0000239,Новости дня № 38 1946 г.,,,
flm0000240,Василиса Прекрасная,1940,72,tt0167474
flm0000241,Международная солидарность женщин - большая сила,,,
flm0000242,Давид Гурамишвили,1946,87,tt0236138
flm0000243,Новости дня № 39 1946 г.,,,
flm0000244,Новости дня № 40 1946 г.,,,
flm0000245,Новости дня № 41 1946 г.,,,
flm0000246,Ночь в сентябре,1939,,tt0031728
flm0000247,Депутат Балтики,1937,107,tt0027509
flm0000248,Морской ястреб,1941,72,tt0239667
flm0000249,Клятва,1946,98,tt0038673
flm0000250,Фронтовой кинооператор Сушинский,1946,20,tt6641376
flm0000251,Во имя Родины,1943,94,tt0036505
flm0000252,Новости дня № 42 1946 г.,,,
flm0000253,Арсен,1937,95,tt0169566
flm0000254,Новости дня № 43 1946 г.,,,
flm0000255,Девушки Ленинграда,,,
flm0000256,Jungle Book,1942,108,tt0034928
flm0000257,Воздушный десант,,,
flm0000258,Партийный билет,1936,108,tt0028089
flm0000259,Специальные выпуски о международном футбольном матче,,,
flm0000260,Донбасс,1945,,tt2238550
flm0000261,Новости дня № 47 1946 г.,,,
flm0000262,Синегория,1946,88,tt0297395
flm0000263,Дубровский,1936,75,tt0027554
flm0000264,Петербургская ночь,1934,104,tt0025648
flm0000265,Тринадцать,1937,90,tt0028413
flm0000266,Богдан Хмельницкий,1941,114,tt0033422
flm0000267,The North Star,1943,108,tt0036217
flm0000268,Златые горы,1931,129,tt0022595
flm0000269,Белый клык,1946,84,tt0166520
flm0000270,"День Авиации, праздник на Тушинском аэродроме 18 августа 1946 г.",,,
flm0000271,Новости дня № 49 1946 г.,,,
flm0000272,Tsogt taij,1945,155,tt0851564
flm0000273,Новости дня № 50 1946 г.,,,
flm0000274,Бабы,1940,88,tt0265059
flm0000275,Новости дня № 51 1946 г.,,,
flm0000276,Новости дня № 52 1946 г.,,,
flm0000277,Родные поля,1945,95,tt0175947
flm0000278,Молодость нашей страны,1946,51,tt0171539
flm0000279,Новости дня № 53 1946 г.,,,
flm0000280,Земля вертится,,,
flm0000281,Затмение солнца и луны,,,
flm0000282,Живая клетка,,,
flm0000283,Нервная система,,,
flm0000284,Сердце человека,,,
flm0000285,Органы движения,,,
flm0000286,Кровь,,,
flm0000287,Регуляторы жизни,,,
flm0000288,Советский спорт № 10 1946 г.,,,
flm0000289,Советский спорт № 11 1946 г.,,,
flm0000290,Таинственный остров,1941,88,tt0034260
flm0000291,Сын полка,1946,73,tt0039005
flm0000292,День таксистов,,,
flm0000293,Сибирь,,,
flm0000294,Советская Якутия,,,
flm0000295,Ущелье Аламасов,1937,,tt0187569
flm0000296,Советская Хакассия,,,
flm0000297,В горах Югославии,1946,85,tt0038638
flm0000298,Удмуртия,,,
flm0000299,Новости дня № 57 1946 г.,,,
flm0000300,Новости дня № 58 1946 г.,,,
flm0000301,Новости дня № 59 1946 г.,,,
flm0000302,Человек №217,1945,91,tt0037589
flm0000303,К пребыванию в Москве участников сессии Исполкома Международной Демократической Федерации женщин,,,
flm0000304,Советский спорт № 12 1946 г.,,,
flm0000305,Советский спорт № 13 1946 г.,,,
flm0000306,Новости дня № 62 1946 г.,,,
flm0000307,Суд народов,1946,58,tt0244109
flm0000308,День артиллерии,,,
flm0000309,Кубок СССР по футболу,,,
flm0000310,Мастера сцены (МХАТ),1947,81,tt0038732
flm0000311,Пребывание в Москве делегации депутатов законодательного собрания Чехословацкой Республики,,,
flm0000312,Пятый океан,1940,,tt0232418
flm0000313,Истребители,1939,96,tt0031498
flm0000314,Последний табор,1936,85,tt0027708
flm0000315,Секретарь Райкома,1942,91,tt0035304
flm0000316,Доктор Калюжный,1939,85,tt0230149
flm0000317,Клятва Тимура,1942,53,tt0034949
flm0000318,Юность Максима,1935,92,tt0027235
flm0000319,Пионерия №9 1946 г.,,,
flm0000320,Пионерия № 9 1946 г.,,,
flm0000321,Пионерия № 10 1946 г.,,,
flm0000322,Джульбарс,1936,79,tt0332012
flm0000323,Новости дня № 67 1946 г.,,,
flm0000324,Новости дня № 68 1946 г.,,,
flm0000325,Новости дня № 69 1946 г.,,,
flm0000326,На сессии Генеральной Ассамблеи Организации Объединенных Наций,,,
flm0000327,29-й октябрь,,,
flm0000328,Остров Безымянный,1946,71,tt0236558
flm0000329,Руслан и Людмила,1938,50,tt0239924
flm0000330,Новости дня № 70 1946 г.,,,
flm0000331,Новости дня № 71 1946 г.,,,
flm0000332,Большая жизнь,1939,94,tt0032268
flm0000333,Адмирал Нахимов,1947,89,tt0039132
flm0000334,Личное дело,1932,73,tt0188138
flm0000335,На сессии генеральной ассамблеи ООН. Новости дня,,,
flm0000336,Сердце родины,,,
flm0000337,Новости дня № 73 1947 г.,,,
flm0000338,Сокровища горной Шории,,,
flm0000339,Советская Эстония,1946,53,tt6697274
flm0000340,Путешествие по родному краю,,,
flm0000341,Александр Пархоменко,1942,94,tt0034443
flm0000342,От Вислы до Одера,,,
flm0000343,Разгром немецких войск под Москвой,1942,55,tt0035085
flm0000344,Семеро смелых,1936,92,tt0028237
flm0000345,К пребыванию в Москве Монтгомери,,,
flm0000346,Новости дня № 1 1947 г.,,,
flm0000347,Новости дня № 4 1947 г.,,,
flm0000348,Петр Первый 1 серия,1937,96,tt0029405
flm0000349,Болгария,,,
flm0000350,Котовский,1943,72,tt0036083
flm0000351,Первая перчатка,1947,77,tt0039699
flm0000352,Киноконцерт 1941,1943,,tt0033789
flm0000353,Битва за нашу советскую Украину,1943,56,tt0035702
flm0000354,Великий гражданин 1 серия,1938,114,tt0029726
flm0000355,Возрождение Сталинграда,1944,45,tt6689830
flm0000356,Новости дня № 6 1947 г.,,,
flm0000357,Советский спорт № 1 1947 г.,,,
flm0000358,Советская Киргизия,,,
flm0000359,Глинка,1946,100,tt0038566
flm0000360,Киносборник научно-популярных фильмов № 1 1947 г.,,,
flm0000361,Советский спорт № 2 1947 г.,,,
flm0000362,Советская Латвия,1947,52,tt19010598
flm0000363,К 29-й годовщине Советской Армии,,,
flm0000364,Крейсер Варяг,1947,92,tt0177893
flm0000365,Новости дня № 10 1947 г.,,,
flm0000366,Новости дня № 11 1947 г.,,,
flm0000367,Новости дня № 12 1947 г.,,,
flm0000368,Весенний поток,1941,75,tt0351946
flm0000369,Танкер «Дербент»,1941,84,tt6680502
flm0000370,Друзья,1939,85,tt0030083
flm0000371,Die Frau meiner Träume,1944,93,tt0036838
flm0000372,Великий всенародный праздник,,,
flm0000373,Во имя жизни,1947,99,tt0039085
flm0000374,Дочь моряка,1941,69,tt0422104
flm0000375,Новости дня №16 - Открытие московской сессии совета Министров иностранных дел 1947 г.,,,
flm0000376,Новости дня №17 - Открытие московской сессии совета Министров иностранных дел 1947 г.,,,
flm0000377,На Волге,,,
flm0000378,Салават Юлаев,1941,72,tt0034147
flm0000379,Славянский конгресс в Белграде,,,
flm0000380,Наука и техника № 81 1947 г.,,,
flm0000381,В глубинах моря,1939,49,tt6684680
flm0000382,Новости дня № 20 1947 г.,,,
flm0000383,Гипноз и внушение,,,
flm0000384,Макар Нечай,1940,76,tt0264826
flm0000385,Наука и техника № 82 1947 г.,,,
flm0000386,Новости дня № 21 1947 г.,,,
flm0000387,Похождения Насреддина,1947,87,tt0039717
flm0000388,Иван Петрович Павлов,,,
flm0000389,Мнимая смерть,,,
flm0000390,Новаторы медицины,,,
flm0000391,Эксперименты по оживлению организмов,1940,20,tt0496948
flm0000392,Экспериментальный сон,,,
flm0000393,Дыхание,,,
flm0000394,Международная демократическая федерация женщин,,,
flm0000395,Новости дня № 22 1947 г.,,,
flm0000396,Наше сердце,1947,82,tt0174964
flm0000397,Наступление на пустыню,,,
flm0000398,Советский спорт № 4 1947 г.,,,
flm0000399,Майская ночь,1938,63,tt0179325
flm0000400,Новости дня № 23 1947 г.,,,
flm0000401,Новости дня № 24 1947 г.,,,
flm0000402,Вулканы,,,
flm0000403,Гром и молния,,,
flm0000404,Землетрясение,,,
flm0000405,Полярное сияние,,,
flm0000406,Советский спорт № 6 1947 г.,,,
flm0000407,Солистка балета,1947,75,tt0039789
flm0000408,Киносборник научно-популярных фильмов № 2 1947 г.,,,
flm0000409,Новости дня № 25 1947 г.,,,
flm0000410,В Париже,,,
flm0000411,Ошибка инженера Кочина,1939,111,tt0175993
flm0000412,Пионерия № 4 1947 г.,,,
flm0000413,Киносборник цветных научно-популярных фильмов № 2 1947 г.,,,
flm0000414,Северная Корея,,,
flm0000415,Валерий Чкалов,1941,89,tt0034353
flm0000416,Новости дня № 28 1947 г.,,,
flm0000417,Золушка,1947,80,tt0168269
flm0000418,Новости дня № 30 1947 г.,,,
flm0000419,Румыния,,,
flm0000420,Новости дня № 29 1947 г.,,,
flm0000421,Новости дня № 31 1947 г.,,,
flm0000422,Подкидыш,1927,60,tt0018482
flm0000423,Советский спорт № 5 1947 г.,,,
flm0000424,Muzi bez krídel,1946,79,tt0038760
flm0000425,Из записок врача,,,
flm0000426,"Газопровод ""Саратов-Москва""",,,
flm0000427,Новости дня № 32 1947 г.,,,
flm0000428,Юность поэта,1937,85,tt0129654
flm0000429,105 лошадиных сил,,,
flm0000430,Киносборник научно-популярных фильмов № 3 1947 г.,,,
flm0000431,Курс на север,,,
flm0000432,Новости дня № 33 1947 г.,,,
flm0000433,In Which We Serve,1942,115,tt0034891
flm0000434,Давид-Бек,1944,93,tt0036747
flm0000435,Парень из тайги,1941,82,tt0189945
flm0000436,Пионерия № 5 1947 г.,,,
flm0000437,Пионерия № 6 1947 г.,,,
flm0000438,Новости дня № 34 1947 г.,,,
flm0000439,Новости дня № 35 1947 г.,,,
flm0000440,Спортивный день столицы,,,
flm0000441,Пропавшая грамота,1945,43,tt0239843
flm0000442,Волшебное зерно,1942,87,tt0334652
flm0000443,Гайчи,1938,60,tt1458741
flm0000444,Метеориты,,,
flm0000445,Новости дня № 36 1947 г.,,,
flm0000446,Новости дня № 37 1947 г.,,,
flm0000447,Белеет парус одинокий,1937,92,tt0028674
flm0000448,Сказка о царе Салтане,1943,35,tt6196836
flm0000449,Весна,1947,104,tt0039954
flm0000450,Новости дня № 38 1947 г.,,,
flm0000451,День на Волге,,,
flm0000452,Советский спорт № 7/20 1947 г.,,,
flm0000453,Наука и техника № 77 1947 г.,,,
flm0000454,Новости дня № 39 1947 г.,,,
flm0000455,Новости дня № 40 1947 г.,,,
flm0000456,Минин и Пожарский,1939,110,tt0031654
flm0000457,Die Mörder sind unter uns,1946,85,tt0038769
flm0000458,Конек-Горбунок,1947,57,tt0050604
flm0000459,Город четырех ворот,,,
flm0000460,Жемчужина Кавказа,,,
flm0000461,Новости дня № 47 1947 г.,,,
flm0000462,Новости дня № 41 1947 г.,,,
flm0000463,Пионерия № 7 1947 г.,,,
flm0000464,Советский спорт № 7 1947 г.,,,
flm0000465,Научно-популярные фильмы,,,
flm0000466,Новости дня № 42 1947 г.,,,
flm0000467,Песенка радости,1946,21,tt6052684
flm0000468,Новости дня № 43 1947 г.,,,
flm0000469,Светлый путь,1940,87,tt0033119
flm0000470,Новости дня № 44 1947 г.,,,
flm0000471,Советский спорт № 8 1947 г.,,,
flm0000472,Сокровища Ценского ущелья,1941,60,tt0268709
flm0000473,Гобсек,1937,73,tt0164612
flm0000474,Запорожсталь возрождается,,,
flm0000475,Приятели,1940,,tt0250672
flm0000476,Цветная мультипликационная программа,,,
flm0000477,В мире советского искусства,,,
flm0000478,Новости дня № 45 1947 г.,,,
flm0000479,La bataille du rail,1946,85,tt0038334
flm0000480,Слет юных пионеров Грузии,,,
flm0000481,Интеллигенция колхозного села,,,
flm0000482,Новости дня № 46 1947 г.,,,
flm0000483,История одной линии,,,
flm0000484,Московская вода,,,
flm0000485,Новости дня № 48 1947 г.,,,
flm0000486,Почин Василия Матросова,,,
flm0000487,Памятники истории,,,
flm0000488,Первопечатник Иван Федоров,1941,,tt3882630
flm0000489,Новости дня № 49 1947 г.,,,
flm0000490,Новости дня № 50 1947 г.,,,
flm0000491,Пионерия № 8 1947 г.,,,
flm0000492,Великий русский зодчий Матвей Казаков,,,
flm0000493,Всесоюзный парад физкультурников 1947 г.,1946,,tt0239776
flm0000494,День воздушного флота,,,
flm0000495,Москва - столица СССР,1947,58,tt6693636
flm0000496,Москва социалистическая,,,
flm0000497,Новости дня № 51 1947 г.,,,
flm0000498,Новый дом,1947,,tt0039670
flm0000499,Человек и обезьяна,,,
flm0000500,Молодые капитаны,1939,,tt0179986
flm0000501,Подвиг разведчика,1947,88,tt0039716
flm0000502,Советская Литва,,,
flm0000503,Новости дня № 55 1947 г.,,,
flm0000504,Новости дня № 56 1947 г.,,,
flm0000505,Секреты природы,1950,80,tt0042936
flm0000506,Теремок,1945,25,tt4849690
flm0000507,Roma città aperta,1945,103,tt0038890
flm0000508,Степан Разин,1939,115,tt0031978
flm0000509,Новости дня № 57 1947 г.,,,
flm0000510,Парень из нашего города,1942,65,tt0033801
flm0000511,Пионерия № 9 1947 г.,,,
flm0000512,Советский спорт № 10 1947 г.,,,
flm0000513,Слава Москве,1947,,tt0239998
flm0000514,В мире советского искусства №4 1947 г.,,,
flm0000515,Александр Невский,1938,112,tt0029850
flm0000516,Новости дня № 58 1947 г.,,,
flm0000517,Новости дня № 59 1947 г.,,,
flm0000518,Центр нападения,1947,71,tt0240135
flm0000519,Новости дня № 60 1947 г.,,,
flm0000520,Новости дня № 61 1947 г.,,,
flm0000521,День победившей страны,1948,79,tt0239334
flm0000522,Ленинград,,,
flm0000523,Миклухо-Маклай,1947,90,tt0040972
flm0000524,По ту сторону Аракса,1947,55,tt2709756
flm0000525,Сельская учительница,1947,97,tt0039810
flm0000526,Новости дня № 63 1947 г.,,,
flm0000527,Новости дня № 64 1947 г.,,,
flm0000528,Пионерия № 11 1947 г.,,,
flm0000529,Четвертый перископ,1939,,tt0233434
flm0000530,Боксеры,1941,60,tt1989466
flm0000531,Доктор Айболит,1938,72,tt0031238
flm0000532,Марите,1947,85,tt0039610
flm0000533,Новости дня № 65 1947 г.,,,
flm0000534,XXX Октябрь,,,
flm0000535,Гибель орла,1941,77,tt0032524
flm0000536,Новости дня № 66 1947 г.,,,
flm0000537,Новости дня № 67 1947 г.,,,
flm0000538,Новости дня № 68 1947 г.,,,
flm0000539,Советская Украина,1947,,tt0240017
flm0000540,Великое зарево,1938,73,tt0030928
flm0000541,Новости дня № 69 1947 г.,,,
flm0000542,Новости дня № 70 1947 г.,,,
flm0000543,Пирогов,1947,92,tt0039710
flm0000544,Случай на полустанке,1939,62,tt0254780
flm0000545,Карело-Финская ССР,,,
flm0000546,Наука и техника № 9 1947 г.,,,
flm0000547,Новости дня № 71 1947 г.,,,
flm0000548,Норрчепинг-Динамо,,,
flm0000549,Анаит,1947,66,tt0305212
flm0000550,Новости дня № 72 1947 г.,,,
flm0000551,Международный фестиваль молодежи,,,
flm0000552,Новости дня № 72 1948 г.,,,
flm0000553,Новости дня № 73 1948 г.,,,
flm0000554,Бой под соколом,1942,52,tt3028096
flm0000555,Новости дня № 74 1948 г.,,,
flm0000556,Пионерия № 12 1948 г.,,,
flm0000557,Советский спорт № 13 1948 г.,,,
flm0000558,Время решает,,,
flm0000559,Жизнь в цитадели,1947,90,tt0040014
flm0000560,Новости дня № 1 1948 г.,,,
flm0000561,Рак,,,
flm0000562,Мастера высоких урожаев,,,
flm0000563,Голубые дороги,1948,81,tt0175679
flm0000564,Новости дня № 2 1948 г.,,,
flm0000565,Новости дня № 3 1948 г.,,,
flm0000566,Новости дня № 4 1948 г.,,,
flm0000567,Фронтовые подруги,1941,92,tt0033637
flm0000568,Алишер Навои,1948,100,tt0040086
flm0000569,Киносборник №6 1948 г.,,,
flm0000570,Новости дня № 5 1948 г.,,,
flm0000571,Новости дня № 6 1948 г.,,,
flm0000572,Советский спорт № 1 1948 г.,,,
flm0000573,Новости дня № 7 1948 г.,,,
flm0000574,Сказание о земле сибирской,1948,114,tt0039833
flm0000575,Новости дня № 8 1948 г.,,,
flm0000576,На страже мира,,,
flm0000577,Новости дня № 9 1948 г.,,,
flm0000578,За китами в Антарктику,,,
flm0000579,Новости дня № 10 1948 г.,,,
flm0000580,Цветные мультипликационные фильмы,,,
flm0000581,Новости дня № 11 1948 г.,,,
flm0000582,Русский вопрос,1948,91,tt0039790
flm0000583,Новости дня № 12 1948 г.,,,
flm0000584,Международный фестиваль молодежи в Праге,,,
flm0000585,Машина 22-12,1949,79,tt0382276
flm0000586,Звериной тропой,,,
